HOME_PURCHASE_STATUS,DEVICE_TYPE,USER_VISIT_TYPE,YEAR_BUILT,Q2B_DENSITY,RESIDENCE_TYPE,CONSTRUCTION_TYPE,REPLACEMENT_AMOUNT_NUMBER,SQUARE_FOOTAGE,Type,TOTAL_RPA,TOTAL_RPU,TOTAL_REVENUE,UNIQUE_PURCHASE_CLICKS,UNIQUE_BRIDGE_CLICKS,IS_SITE_APPLICANT,IS_SITE_CUSTOMER
Own,Mobile,Returning,1956,0.6345781034130595,Townhome,Brick,393638.22407067317,2680.375518578154,link click,69.17461380172047,182.77607506645913,552.7620299784845,1,4,Yes,Yes
Own,Mobile,New,2014,0.3393444565156791,Single Family,Brick,443256.462283426,2690.536714536758,link click,237.48706834851683,69.47395937882129,64.83513578986765,2,2,Yes,Yes
Rent,Mobile,New,1947,0.4075679452161325,Single Family,Mixed,473254.4348874863,2972.4184773201705,link click,42.78191642706318,58.59859791247524,231.085839490143,2,2,Yes,No
Rent,Desktop,Returning,1981,0.7311026699656047,Apartment,Masonry,329125.69392687315,2381.4910085432475,link click,190.5296440103342,83.08234226887589,430.8578996325477,0,6,No,Yes
Rent,Mobile,New,1984,0.01,Condo,Frame,240685.65753020687,924.8913206114146,link click,70.72880813042697,22.666546278844418,20.583559343423786,0,1,No,No
Own,Mobile,New,1949,0.5615291987567411,Townhome,Brick,414620.8411722181,3055.7093820092914,link click,122.41696462367311,150.2997682600078,342.74919450895845,2,4,Yes,No
Other,Desktop,Returning,1946,0.654063332423129,Single Family,Masonry,411631.58468890307,3005.0493727854764,link click,225.0714118706888,135.07176693674518,212.81641766639913,2,7,Yes,No
Rent,Desktop,New,2021,0.32583689167890295,Single Family,Frame,291844.7488126077,2135.417887379407,link click,30.230660361152225,48.96916776781596,209.26917729917315,0,3,Yes,Yes
Own,Desktop,Returning,1982,0.36593495763819994,Apartment,Frame,412554.8685206984,2645.272205781839,link click,653.5687570268641,574.3171832563384,567.2005504092032,1,5,Yes,No
Own,Mobile,New,1959,0.9841042474435355,Townhome,Masonry,290228.3005748685,2031.7379237331102,link click,122.80262613416357,263.04518756933356,76.02591980743026,0,4,No,Yes
Rent,Mobile,Returning,1986,0.561272283656658,Single Family,Brick,383868.7438559,2226.872013059914,link click,348.18648820765236,88.66991744638844,216.1398021741194,3,3,No,Yes
Rent,Desktop,Returning,2020,0.5608913460864189,Townhome,Frame,320140.9185638169,2417.042914373617,link click,444.9864153999544,73.29153678409314,139.3035220022158,0,2,Yes,Yes
Rent,Mobile,Returning,1990,0.7391102980506091,Single Family,Frame,368347.99858766823,2510.505945031523,link click,58.631492661212384,383.27718725458277,736.875312088101,2,0,Yes,No
Own,Desktop,New,1961,0.703067342946424,Townhome,Brick,333141.1661639332,2051.5569879352283,link click,156.7570195511711,43.67439504713313,125.80661469305701,1,3,No,Yes
Rent,Mobile,Returning,2020,0.3728408916152924,Apartment,Masonry,352245.6535312541,2204.778870900288,link click,81.32137955351004,56.36142732963016,84.31321931856219,0,1,No,Yes
Own,Mobile,New,1978,0.3471755710931807,Condo,Brick,381460.3961907331,2897.599515834304,link click,150.28219926459246,110.36762905732354,1375.1333737884004,1,4,Yes,Yes
Own,Mobile,New,1981,0.2914264875941308,Apartment,Brick,367004.6525446887,2929.317259455661,link click,125.89082725582574,47.943820050917836,408.10062731171064,2,3,Yes,No
Own,Desktop,New,1985,0.32720794273676346,Single Family,Masonry,342985.3181616896,2365.0534801146932,link click,453.70668460908263,168.15117791793847,2581.6577890675585,1,0,Yes,No
Own,Mobile,Returning,1946,0.34363251773808806,Townhome,Brick,267168.7621200549,1596.410140810364,link click,39.732737184468085,88.88712552129684,196.41303502559586,2,3,No,No
Own,Mobile,New,1995,0.348728414367032,Condo,Frame,335649.1113042699,2247.328777338037,link click,54.1088861776699,64.7169048491484,167.59085682757623,2,3,Yes,Yes
Rent,Desktop,Returning,1958,0.5336931999553916,Condo,Mixed,317661.0764669798,2306.260246076002,link click,28.63110380641639,267.9319592022902,41.81822833114129,0,2,No,No
Own,Mobile,New,1984,0.6615905796435265,Single Family,Brick,309968.7403898444,1615.536073693327,link click,200.57842648540233,163.52311302340186,271.5648890908156,1,0,No,Yes
Own,Mobile,Returning,2014,0.3160164927781861,Single Family,Brick,460773.4479546138,2593.697933623537,link click,68.38029330727191,74.28218644504335,112.99319387774591,7,5,Yes,Yes
Own,Desktop,New,1973,0.4948120772987048,Single Family,Frame,267645.87824985513,2366.1191774685367,link click,217.10950006333218,191.6544068061212,24.57887348817804,1,1,No,No
Own,Desktop,Returning,1996,0.29936994522919086,Apartment,Frame,197107.41997729757,924.4407803681036,link click,325.0066802140373,13.590511028507063,38.426666538712055,1,1,No,No
Own,Mobile,New,1991,0.5659733289825069,Single Family,Mixed,461654.9800646147,3357.8439227196172,link click,266.9822153504812,568.5233006378995,200.7771524777408,4,8,Yes,Yes
Rent,Mobile,New,1950,0.7634734761776943,Single Family,Frame,212352.4659586821,1672.4631644516217,link click,75.39579913796388,83.72804532975259,33.659603188887196,0,1,No,No
Own,Desktop,Returning,2008,0.5865622406551757,Single Family,Frame,149813.19596360915,1295.9497883326985,link click,22.44163216115153,564.5135003263132,50.58876287332277,1,1,No,No
Own,Mobile,Returning,1946,0.4281892662528832,Townhome,Frame,441558.51684309694,2954.6198063096977,link click,91.82864594887832,101.62265517611532,187.56373672092846,2,4,Yes,Yes
Rent,Mobile,Returning,1965,0.235552459634072,Single Family,Brick,421550.12877574796,2834.983310034161,link click,1426.4009280276216,429.53132684727757,505.63999060237927,3,7,Yes,Yes
Rent,Mobile,Returning,2001,0.3624338924044018,Townhome,Brick,166871.59977981678,1265.0638441652254,link click,13.522342761659228,32.78099490921763,79.14074703649585,2,0,No,No
Other,Mobile,Returning,1950,0.772534154658169,Single Family,Brick,243523.87945842225,1113.949296549186,link click,35.529293342415535,142.18204026270783,353.6149261367566,1,3,Yes,No
Rent,Mobile,New,1963,0.6339249179596107,Townhome,Masonry,413975.24909760954,2607.344753119763,link click,11.390286143741928,130.66348014169958,1018.818890184693,1,2,No,No
Own,Mobile,New,1948,0.6550782592036832,Townhome,Frame,194617.70580163086,1556.700685808456,link click,147.18640396334155,118.03809679722542,57.990617426927265,3,1,No,No
Rent,Mobile,Returning,2019,0.4945609852299454,Single Family,Masonry,376123.4556695932,2530.775976985051,link click,44.38989694132992,186.59230099740958,650.8986356546218,1,6,Yes,Yes
Rent,Mobile,Returning,1986,0.01,Townhome,Mixed,435191.01254424115,2854.3989137114504,link click,367.70745878932485,63.37496104965461,130.2145350084915,1,7,Yes,Yes
Rent,Mobile,Returning,2022,0.7070956003252321,Single Family,Frame,326520.41108708864,2142.0377000443927,link click,330.0293009142432,75.63551161930145,157.56831039026503,1,0,No,No
Own,Desktop,New,1962,0.16620905064970803,Townhome,Frame,246450.3871643478,1969.9567774449497,link click,111.64906546760706,35.474150110417824,80.78553000393501,1,3,No,Yes
Rent,Desktop,New,2005,0.44003459191463257,Apartment,Mixed,481694.6798638206,3038.8971451987354,link click,75.1124751516419,58.64531939797692,217.65156044839657,0,9,Yes,No
Own,Desktop,Returning,2006,0.7498679232352832,Townhome,Frame,377233.5414120286,2694.5014166538176,link click,35.006942497096865,35.2256224223864,618.8266530858743,2,1,Yes,Yes
Own,Mobile,New,1954,0.3470401003252154,Apartment,Mixed,375561.39312816894,3198.460096270407,link click,46.90332885905915,226.38191293020105,1274.4739095188309,3,4,Yes,Yes
Rent,Mobile,Returning,2004,0.6416802814756235,Single Family,Mixed,269320.7118362069,1988.2357245020144,link click,39.79318596053894,93.28256553695395,93.94573890863381,1,1,No,No
