HOME_PURCHASE_STATUS,DEVICE_TYPE,USER_VISIT_TYPE,YEAR_BUILT,Q2B_DENSITY,RESIDENCE_TYPE,CONSTRUCTION_TYPE,REPLACEMENT_AMOUNT_NUMBER,SQUARE_FOOTAGE,Type,TOTAL_RPA,TOTAL_RPU,TOTAL_REVENUE,UNIQUE_PURCHASE_CLICKS,UNIQUE_BRIDGE_CLICKS,IS_SITE_APPLICANT,IS_SITE_CUSTOMER
Rent,Desktop,New,1990,0.5996053606441818,Apartment,Brick,205888.79111486417,1833.9386232454206,Not link click,16.997366509979493,15.150993221799887,79.04022959167881,0,1,No,No
Own,Desktop,New,1971,0.35369191514738907,Single Family,Frame,330503.2896579483,2146.0537545170178,Not link click,56.53389296243275,108.31810992275112,206.73897326044127,2,2,No,No
Other,Mobile,New,2021,0.36905144098181436,Condo,Frame,170191.14644340592,1275.9849481653423,Not link click,29.853594615848884,71.18098004318335,68.349042286846,0,0,No,No
Own,Mobile,Returning,1956,0.8307642422382455,Townhome,Brick,322093.9671344579,1399.2023588583952,Not link click,120.6613870401858,144.2853796795705,190.9103003710828,0,1,No,No
Rent,Mobile,Returning,2022,0.9149309105317696,Condo,Masonry,216957.9450369721,1287.3005026534884,Not link click,60.36121422446237,60.76920440198256,59.86727030141192,0,2,No,No
Own,Desktop,New,1977,0.1884143013357656,Condo,Frame,325840.6699242063,1618.7383359548573,Not link click,167.66363524680196,136.80439692265546,364.0065123481358,2,1,Yes,No
Own,Mobile,New,1986,0.7031078701233023,Townhome,Frame,207391.56122327407,1696.376293750743,Not link click,53.48678828442917,27.560518184801396,62.6640660104444,0,1,No,Yes
Own,Mobile,New,1995,0.6165309758757096,Single Family,Frame,335625.47860836476,2142.4087058012865,Not link click,106.79769159389193,35.758490846984145,76.29227677928301,1,1,No,No
Rent,Desktop,Returning,1972,0.5550932939667973,Townhome,Frame,165886.9870158161,1133.6226681386552,Not link click,65.73441153922822,58.42059136172891,77.41293312247055,0,1,No,Yes
Other,Mobile,Returning,1949,0.5348423751521718,Condo,Brick,300040.5453665777,1696.7728161319797,Not link click,80.1570338675534,306.2482430920805,85.61555732693687,1,3,Yes,No
Own,Desktop,New,1993,0.37018311820346,Apartment,Frame,436456.30247479276,2956.305137971238,Not link click,850.174030594133,122.43715040956651,306.8416651210379,2,4,Yes,Yes
Rent,Desktop,Returning,1967,0.5545797826442734,Townhome,Mixed,269841.03796164657,2293.323363688837,Not link click,92.90774353671426,128.88811831800334,131.54459818808618,3,1,Yes,No
Own,Mobile,Returning,2005,0.5033167711897143,Single Family,Masonry,253026.37418929103,1060.2945205355172,Not link click,59.976206422471606,22.493867128298383,186.63890175676818,2,1,No,Yes
Own,Mobile,New,1967,0.6895972448508243,Condo,Frame,334421.85038791364,2607.0401656142985,Not link click,274.8026816279367,439.9475581820417,229.89548242318568,1,2,Yes,Yes
Other,Mobile,Returning,1999,0.6522744938390522,Single Family,Frame,349128.4787879069,2661.323673896764,Not link click,71.39690563258125,480.55780157269726,620.5606189708266,1,2,No,Yes
Rent,Mobile,New,1953,0.5183883128396255,Single Family,Brick,269539.51833265484,1934.8364469811484,Not link click,189.81580126737458,120.24552659636544,100.34568268003045,1,3,No,No
Rent,Mobile,New,1963,0.7867465477074769,Apartment,Frame,396118.14739163197,2608.5472554821827,Not link click,24.561255077403366,183.71289854828038,527.2947932182672,3,4,No,No
Rent,Mobile,Returning,1959,0.33421571316589105,Apartment,Brick,363472.50283113314,2084.5069181699546,Not link click,141.2694442498911,63.54528249806644,136.38974170475942,2,2,Yes,No
